id,date,revenue,orders,customerId,productId,productName,category,region
order_001,2025-10-01,145.99,1,customer_1001,product_501,Wireless Headphones,Electronics,North America
order_002,2025-10-01,89.50,1,customer_1002,product_502,Cotton T-Shirt,Clothing,Europe
order_003,2025-10-01,234.75,1,customer_1003,product_503,Garden Hose Set,Home & Garden,Asia Pacific
order_004,2025-10-01,67.25,1,customer_1004,product_504,Running Shoes,Sports,North America
order_005,2025-10-01,29.99,1,customer_1005,product_505,Programming Guide,Books,Europe
order_006,2025-10-02,189.99,1,customer_1006,product_501,Wireless Headphones,Electronics,Latin America
order_007,2025-10-02,45.00,1,customer_1007,product_506,Blue Jeans,Clothing,North America
order_008,2025-10-02,156.80,1,customer_1008,product_507,Kitchen Mixer,Home & Garden,Europe
order_009,2025-10-02,92.50,1,customer_1009,product_508,Soccer Ball,Sports,Asia Pacific
order_010,2025-10-02,34.99,1,customer_1010,product_509,Cookbook Collection,Books,North America
order_011,2025-10-03,299.99,1,customer_1011,product_510,Smartphone,Electronics,Europe
order_012,2025-10-03,75.00,1,customer_1012,product_511,Wool Sweater,Clothing,Asia Pacific
order_013,2025-10-03,128.45,1,customer_1013,product_512,Power Drill,Home & Garden,Latin America
order_014,2025-10-03,199.99,1,customer_1014,product_513,Tennis Racket,Sports,North America
order_015,2025-10-03,19.99,1,customer_1015,product_514,Mystery Novel,Books,Europe
order_016,2025-10-04,449.99,1,customer_1016,product_515,Gaming Laptop,Electronics,North America
order_017,2025-10-04,89.99,1,customer_1017,product_516,Dress Shirt,Clothing,Europe
order_018,2025-10-04,67.50,1,customer_1018,product_517,Plant Pot Set,Home & Garden,Asia Pacific
order_019,2025-10-04,134.99,1,customer_1019,product_518,Basketball,Sports,Latin America
order_020,2025-10-04,24.99,1,customer_1020,product_519,Science Textbook,Books,North America
order_021,2025-10-05,179.99,1,customer_1021,product_520,Smart Watch,Electronics,Europe
order_022,2025-10-05,59.99,1,customer_1022,product_521,Summer Dress,Clothing,Asia Pacific
order_023,2025-10-05,89.99,1,customer_1023,product_522,Garden Shovel,Home & Garden,North America
order_024,2025-10-05,249.99,1,customer_1024,product_523,Golf Club Set,Sports,Europe
order_025,2025-10-05,39.99,1,customer_1025,product_524,History Book,Books,Latin America
order_026,2025-10-06,89.99,1,customer_1026,product_525,Bluetooth Speaker,Electronics,Asia Pacific
order_027,2025-10-06,119.99,1,customer_1027,product_526,Winter Jacket,Clothing,North America
order_028,2025-10-06,45.50,1,customer_1028,product_527,Watering Can,Home & Garden,Europe
order_029,2025-10-06,79.99,1,customer_1029,product_528,Yoga Mat,Sports,Asia Pacific
